"binomial","fb_name"
"Labeo calbasu","Labeo calbasu"
"Labeo capensis","Labeo capensis"
"Labeo chrysophekadion","Labeo chrysophekadion"
"Labeo coubie","Labeo coubie"
"Labeo dussumieri","Labeo dussumieri"
"Labeo fimbriatus","Labeo fimbriatus"
"Labeo forskalii","Labeo forskalii"
"Labeo gonius","Labeo gonius"
"Labeo lineatus","Labeo lineatus"
"Labeo mesops","Labeo mesops"
"Labeo pangusia","Labeo pangusia"
"Labeo rohita","Labeo rohita"
"Labeobarbus aeneus","Labeobarbus aeneus"
"Labeobarbus altianalis","Labeobarbus altianalis"
"Labeobarbus kimberleyensis","Labeobarbus kimberleyensis"
"Labiobarbus leptocheilus","Labiobarbus leptocheilus"
"Labrisomus philippii","Labrisomus philippii"
"Lagodon rhomboides","Lagodon rhomboides"
"Lamna ditropis","Lamna ditropis"
"Lampetra fluviatilis","Lampetra fluviatilis"
"Lamprogrammus brunswigi","Lamprogrammus brunswigi"
"Lappanella fasciata","Lappanella fasciata"
"Larimus effulgens","Larimus effulgens"
"Lates angustifrons","Lates angustifrons"
"Lates mariae","Lates mariae"
"Lates microlepis","Lates microlepis"
"Lates niloticus","Lates niloticus"
"Lates stappersii","Lates stappersii"
"Lebiasina bimaculata","Lebiasina bimaculata"
"Lecanogaster chrysea","Lecanogaster chrysea"
"Lepidion eques","Lepidion eques"
"Lepidion lepidion","Lepidion lepidion"
"Lepidoblennius haplodactylus","Lepidoblennius haplodactylus"
"Lepidocephalichthys guntea","Lepidocephalichthys guntea"
"Lepidopsetta mochigarei","Lepidopsetta mochigarei"
"Lepidopus fitchi","Lepidopus fitchi"
"Lepidotrigla dieuzeidei","Lepidotrigla dieuzeidei"
"Lepisosteus oculatus","Lepisosteus oculatus"
"Lepisosteus osseus","Lepisosteus osseus"
"Lepomis macrochirus","Lepomis macrochirus"
"Lepophidium aporrhox","Lepophidium aporrhox"
"Leptobarbus hoevenii","Leptobarbus hoevenii"
"Lestidiops affinis","Lestidiops affinis"
"Lethrinus crocineus","Lethrinus crocineus"
"Leucoraja ocellata","Leucoraja ocellata"
"Leucoraja wallacei","Leucoraja wallacei"
"Liachirus melanospilos","Liachirus melanospilos"
"Limanda punctatissima","Limanda punctatissima"
"Limnothrissa miodon","Limnothrissa miodon"
"Limnotilapia dardennii","Limnotilapia dardennii"
"Liopsetta glacialis","Liopsetta glacialis"
"Lithognathus aureti","Lithognathus aureti"
"Lophiodes mutilus","Lophiodes mutilus"
"Luciopimelodus pati","Luciopimelodus pati"
"Luposicya lupus","Luposicya lupus"
"Lutjanus bitaeniatus","Lutjanus bitaeniatus"
"Lutjanus dentatus","Lutjanus dentatus"
"Lutjanus goreensis","Lutjanus goreensis"
"Lutjanus sanguineus","Lutjanus sanguineus"
"Lutjanus timoriensis","Lutjanus timoriensis"
"Luvarus imperialis","Luvarus imperialis"
"Luzonichthys earlei","Luzonichthys earlei"
"Macrochirichthys macrochirus","Macrochirichthys macrochirus"
"Macrodon atricauda","Macrodon atricauda"
"Macrognathus aculeatus","Macrognathus aculeatus"
"Macrognathus pancalus","Macrognathus pancalus"
"Malacoraja senta","Malacoraja senta"
"Malacoraja spinacidermis","Malacoraja spinacidermis"
"Malapterurus electricus","Malapterurus electricus"
"Marcusenius abadii","Marcusenius abadii"
"Marcusenius macrolepidotus","Marcusenius macrolepidotus"
"Margariscus margarita","Margariscus margarita"
"Mastacembelus armatus","Mastacembelus armatus"
"Mastacembelus erythrotaenia","Mastacembelus erythrotaenia"
"Mastacembelus marchei","Mastacembelus marchei"
"Mastacembelus mastacembelus","Mastacembelus mastacembelus"
"Mastacembelus niger","Mastacembelus niger"
"Mataeocephalus tenuicauda","Mataeocephalus tenuicauda"
"Mchenga inornata","Mchenga inornata"
"Megaleporinus macrocephalus","Megaleporinus macrocephalus"
"Megaleporinus obtusidens","Megaleporinus obtusidens"
"Megalonema platanum","Megalonema platanum"
"Melamphaes acanthomus","Melamphaes acanthomus"
"Melanonus zugmayeri","Melanonus zugmayeri"
"Melanostigma atlanticum","Melanostigma atlanticum"
"Menticirrhus nasus","Menticirrhus nasus"
"Menticirrhus ophicephalus","Menticirrhus ophicephalus"
"Menticirrhus panamensis","Menticirrhus panamensis"
"Merluccius patagonicus","Merluccius patagonicus"
"Mesoheros festae","Mesoheros festae"
"Mesopristes argenteus","Mesopristes argenteus"
"Mesopristes kneri","Mesopristes kneri"
"Metynnis maculatus","Metynnis maculatus"
"Microchirus azevia","Microchirus azevia"
"Microchirus boscanion","Microchirus boscanion"
"Microchirus ocellatus","Microchirus ocellatus"
"Microcottus sellaris","Microcottus sellaris"
"Microlepidotus inornatus","Microlepidotus inornatus"
"Micrometrus aurora","Micrometrus aurora"
"Micropogonias ectenes","Micropogonias ectenes"
"Micropogonias megalops","Micropogonias megalops"
"Micropterus salmoides","Micropterus salmoides"
"Microthrissa moeruensis","Microthrissa moeruensis"
"Mobula eregoodootenkee","Mobula eregoodootenkee"
